Step 453, time 0.9359, Loss 6.5288
Step 454, time 0.9121, Loss 6.2326
Step 455, time 0.8958, Loss 6.3042
Step 456, time 0.9042, Loss 6.2943
Step 457, time 0.9002, Loss 6.4881
Step 458, time 0.8789, Loss 6.7881
Step 459, time 0.9171, Loss 6.8459
Step 460, time 0.9023, Loss 7.3587
Step 461, time 0.9176, Loss 6.1494
Step 462, time 0.9001, Loss 6.0466
Step 463, time 0.9023, Loss 5.8504
Step 464, time 0.8920, Loss 5.6989
Step 465, time 0.8903, Loss 5.9307
Step 466, time 0.8995, Loss 5.7183
Step 467, time 0.8852, Loss 5.7492
Step 468, time 0.9114, Loss 5.6257
Step 469, time 0.9020, Loss 5.8576
Step 470, time 0.9266, Loss 6.1974
Step 471, time 0.9169, Loss 6.5925
Step 472, time 0.9193, Loss 6.2702
Step 473, time 0.9118, Loss 5.9284
Step 474, time 0.9068, Loss 5.6681
Step 475, time 0.9306, Loss 6.1593
Step 476, time 0.9045, Loss 6.4743
Step 477, time 0.9121, Loss 6.3481
Step 478, time 0.8974, Loss 5.7813
Step 479, time 0.8945, Loss 6.5448
Step 480, time 0.9087, Loss 6.2688
Step 481, time 0.8977, Loss 5.8703
Step 482, time 0.9092, Loss 6.3434
Step 483, time 0.9088, Loss 5.6758
Step 484, time 0.9073, Loss 6.0744
Step 485, time 0.8939, Loss 6.0921
Step 486, time 0.8866, Loss 6.3858
Step 487, time 0.9055, Loss 6.9197
Step 488, time 0.8979, Loss 6.2274
Step 489, time 0.9027, Loss 6.7509
Step 490, time 0.9165, Loss 5.9551
Step 491, time 0.8977, Loss 6.6109
Step 492, time 0.8808, Loss 6.5933
Step 493, time 0.9001, Loss 6.8779
Step 494, time 0.8958, Loss 5.9331
Step 495, time 0.8892, Loss 5.9743
Step 496, time 0.9013, Loss 5.4362
Step 497, time 0.8925, Loss 6.6714
Step 498, time 0.9025, Loss 5.5420
Step 499, time 0.8865, Loss 6.4244
Step 500, time 0.8880, Loss 5.7592
Step 501, time 0.8936, Loss 6.4043
Step 502, time 0.9014, Loss 5.7690
Step 503, time 0.8882, Loss 5.3707
Step 504, time 0.8916, Loss 6.1748
Step 505, time 0.9028, Loss 5.6219
Step 506, time 0.9170, Loss 6.3004
Step 507, time 0.9130, Loss 6.1671
Step 508, time 0.9186, Loss 6.0064
Step 509, time 0.8943, Loss 6.9715
Step 510, time 0.8968, Loss 5.9952
Step 511, time 0.8908, Loss 6.3128
Step 512, time 0.8988, Loss 6.1754
Step 513, time 0.8983, Loss 6.1396
Step 514, time 0.9351, Loss 7.4070
Step 515, time 0.9307, Loss 6.0205
Step 516, time 0.9118, Loss 6.6601
Step 517, time 0.9329, Loss 6.6273
Step 518, time 0.9290, Loss 5.7450
Step 519, time 0.9048, Loss 6.3413
Step 520, time 0.8851, Loss 6.6134
Step 521, time 0.8982, Loss 6.4293
Step 522, time 0.8973, Loss 6.1936
Step 523, time 0.9075, Loss 5.6112
Step 524, time 0.9147, Loss 6.3113
Step 525, time 0.9040, Loss 5.9945
Step 526, time 0.9133, Loss 6.2951
Step 527, time 0.9124, Loss 7.1501
Step 528, time 0.9107, Loss 6.1769
Step 529, time 0.9170, Loss 5.9784
Step 530, time 0.9019, Loss 6.5723
Step 531, time 0.9093, Loss 5.8836
Step 532, time 0.9029, Loss 6.2122
Step 533, time 0.9035, Loss 5.8725
Step 534, time 0.8940, Loss 5.7712
Step 535, time 0.8951, Loss 6.5955
Step 536, time 0.9051, Loss 5.8714
Step 537, time 0.9049, Loss 6.1523
Step 538, time 0.8799, Loss 5.9029
Step 539, time 0.9057, Loss 6.0007
Step 540, time 0.9112, Loss 6.5399
Step 541, time 0.8976, Loss 5.8016
Step 542, time 0.9214, Loss 5.7010
Step 543, time 0.8937, Loss 6.1494
Step 544, time 0.8944, Loss 5.6115
Step 545, time 0.8974, Loss 5.5635
Step 546, time 0.9118, Loss 5.9915
Step 547, time 0.9190, Loss 5.7529
Step 548, time 0.9082, Loss 6.3186
Step 549, time 0.8937, Loss 5.7716
Step 550, time 0.9117, Loss 6.5419
Step 551, time 0.8989, Loss 6.1310
Step 552, time 0.9215, Loss 5.9005
Step 553, time 0.9219, Loss 6.0920
Step 554, time 0.8939, Loss 5.9539
Step 555, time 0.8934, Loss 6.3127
Step 556, time 0.9066, Loss 5.4472
Step 557, time 0.8944, Loss 7.0618
Step 558, time 0.9006, Loss 6.1861
Step 559, time 0.9215, Loss 6.0733
Step 560, time 0.9028, Loss 6.0364
Step 561, time 0.8942, Loss 5.8825
Step 562, time 0.9009, Loss 6.1871
Step 563, time 0.9046, Loss 6.0136
Step 564, time 0.9097, Loss 6.3386
Step 565, time 0.8892, Loss 6.2968
Step 566, time 0.9034, Loss 6.3050
Step 567, time 0.9288, Loss 5.7179
Step 568, time 0.9218, Loss 6.0226
Step 569, time 0.9178, Loss 6.3852
Step 570, time 0.9081, Loss 6.1375
Step 571, time 0.9196, Loss 5.9961
Step 572, time 0.9245, Loss 6.9157
Step 573, time 0.9135, Loss 6.1381
Step 574, time 0.9222, Loss 5.8005
Step 575, time 0.9111, Loss 6.4951
Step 576, time 0.9212, Loss 6.7477
Step 577, time 0.9062, Loss 6.1313
Step 578, time 0.9152, Loss 6.0920
Step 579, time 0.9172, Loss 6.4932
Step 580, time 0.9182, Loss 6.1295
Step 581, time 0.9338, Loss 6.4876
Step 582, time 0.9120, Loss 5.6949
Step 583, time 0.8976, Loss 6.7509
Step 584, time 0.9035, Loss 5.7984
Step 585, time 0.9156, Loss 5.9477
Step 586, time 0.9002, Loss 7.1129
Step 587, time 0.9364, Loss 7.1641
Step 588, time 0.9055, Loss 6.1154
Step 589, time 0.8916, Loss 6.5823
Step 590, time 0.9216, Loss 6.2726
Step 591, time 0.8902, Loss 6.1830
Step 592, time 0.8922, Loss 5.7928
Step 593, time 0.9165, Loss 6.2459
Step 594, time 0.9194, Loss 6.1212
Step 595, time 0.8927, Loss 5.8177
Step 596, time 0.9045, Loss 6.2544
Step 597, time 0.9035, Loss 5.9603
Step 598, time 0.9129, Loss 6.1790
Step 599, time 0.8928, Loss 5.9196
Step 600, time 0.9056, Loss 6.4376
Step 601, time 0.8978, Loss 6.4379
Step 602, time 0.8937, Loss 6.6229
Step 603, time 0.9005, Loss 6.6007
Step 604, time 0.9126, Loss 6.1488
Step 605, time 0.9072, Loss 6.0340
Step 606, time 0.9092, Loss 6.7271
Step 607, time 0.9133, Loss 6.1667
Step 608, time 0.9181, Loss 6.2222
Step 609, time 0.8959, Loss 6.1233
Step 610, time 0.9215, Loss 6.2571
Step 611, time 0.8972, Loss 6.5635
Step 612, time 0.9075, Loss 5.7611
Step 613, time 0.9047, Loss 6.1311
Step 614, time 0.9043, Loss 5.8531
Step 615, time 0.8861, Loss 7.3231
Step 616, time 0.9081, Loss 6.5561
Step 617, time 0.8963, Loss 5.5011
Step 618, time 0.9193, Loss 5.6135
Step 619, time 0.9227, Loss 5.9915
Step 620, time 0.9018, Loss 6.3233
Step 621, time 0.8979, Loss 6.0266
Step 622, time 0.9070, Loss 5.8706
Step 623, time 0.8903, Loss 6.1514
Step 624, time 0.9255, Loss 6.5765
Step 625, time 0.9032, Loss 6.4890
Step 626, time 0.8767, Loss 6.3192
Step 627, time 0.9006, Loss 5.8025
Step 628, time 0.9054, Loss 6.4840
Step 629, time 0.8966, Loss 5.6826
Step 630, time 0.8969, Loss 6.2063
Step 631, time 0.9138, Loss 5.8283
Step 632, time 0.8914, Loss 5.9478
Step 633, time 0.9151, Loss 6.6116
Step 634, time 0.8958, Loss 6.0395
Step 635, time 0.9059, Loss 5.8744
Step 636, time 0.9064, Loss 5.6814
Step 637, time 0.9174, Loss 6.0313
Step 638, time 0.8834, Loss 5.8457
Step 639, time 0.9051, Loss 6.0626
Step 640, time 0.9082, Loss 5.7687
Step 641, time 0.9051, Loss 6.3003
Step 642, time 0.9065, Loss 5.7108
Step 643, time 0.9075, Loss 6.4233
Step 644, time 0.9216, Loss 5.6668
Step 645, time 0.9063, Loss 5.9781
Step 646, time 0.9108, Loss 5.6432
Step 647, time 0.9239, Loss 5.7548
Step 648, time 0.9292, Loss 5.8572
Step 649, time 0.9178, Loss 5.5859
Step 650, time 0.9136, Loss 6.2365
Step 651, time 0.9184, Loss 5.9995
Step 652, time 0.9246, Loss 5.6799
Step 653, time 0.9098, Loss 5.8382
Step 654, time 0.9068, Loss 5.4250
Step 655, time 0.9128, Loss 5.4586
Step 656, time 0.9068, Loss 5.9217
Step 657, time 0.8974, Loss 6.1507
Step 658, time 0.9194, Loss 6.1194
Step 659, time 0.9146, Loss 5.9503
Step 660, time 0.9019, Loss 5.6533
Step 661, time 0.9124, Loss 6.1934
Step 662, time 0.9048, Loss 5.9951
Step 663, time 0.8952, Loss 5.9650
Step 664, time 0.9036, Loss 6.0234
Step 665, time 0.8978, Loss 6.5532
