Step 513, time 0.5867, Loss 6.1397
Step 514, time 0.5728, Loss 5.7294
Step 515, time 0.5835, Loss 6.4757
Step 516, time 0.5810, Loss 7.5259
Step 517, time 0.5764, Loss 6.3493
Step 518, time 0.5729, Loss 6.0293
Step 519, time 0.5730, Loss 6.1048
Step 520, time 0.5751, Loss 5.3032
Step 521, time 0.5683, Loss 5.8237
Step 522, time 0.5804, Loss 6.2879
Step 523, time 0.5697, Loss 5.8200
Step 524, time 0.5796, Loss 6.1716
Step 525, time 0.5785, Loss 5.7435
Step 526, time 0.5670, Loss 5.4274
Step 527, time 0.5676, Loss 6.4550
Step 528, time 0.5613, Loss 5.4309
Step 529, time 0.5779, Loss 6.0401
Step 530, time 0.5647, Loss 5.8193
Step 531, time 0.5709, Loss 5.8098
Step 532, time 0.5810, Loss 5.8684
Step 533, time 0.5823, Loss 5.7863
Step 534, time 0.5740, Loss 6.7553
Step 535, time 0.5691, Loss 5.9881
Step 536, time 0.5802, Loss 6.6068
Step 537, time 0.5737, Loss 5.8011
Step 538, time 0.5714, Loss 6.9072
Step 539, time 0.5830, Loss 6.2353
Step 540, time 0.5701, Loss 5.8032
Step 541, time 0.5798, Loss 5.4864
Step 542, time 0.5620, Loss 6.0178
Step 543, time 0.5744, Loss 6.0964
Step 544, time 0.5717, Loss 6.1550
Step 545, time 0.5750, Loss 6.8834
Step 546, time 0.5700, Loss 6.3529
Step 547, time 0.5693, Loss 6.0298
Step 548, time 0.5718, Loss 6.1668
Step 549, time 0.5734, Loss 6.0969
Step 550, time 0.5681, Loss 6.0203
Step 551, time 0.5823, Loss 5.8354
Step 552, time 0.5845, Loss 6.1276
Step 553, time 0.5799, Loss 5.5625
Step 554, time 0.5800, Loss 6.5163
Step 555, time 0.5710, Loss 6.3327
Step 556, time 0.5820, Loss 6.4339
Step 557, time 0.5711, Loss 6.2936
Step 558, time 0.5696, Loss 6.6160
Step 559, time 0.5804, Loss 6.6308
Step 560, time 0.5796, Loss 6.4371
Step 561, time 0.6091, Loss 5.4607
Step 562, time 0.5910, Loss 6.2905
Step 563, time 0.5752, Loss 6.7147
Step 564, time 0.5940, Loss 7.6419
Step 565, time 0.5866, Loss 6.7571
Step 566, time 0.5925, Loss 5.9034
Step 567, time 0.5826, Loss 6.0692
Step 568, time 0.5894, Loss 7.2749
Step 569, time 0.5926, Loss 6.1965
Step 570, time 0.5957, Loss 5.6026
Step 571, time 0.5880, Loss 5.9422
Step 572, time 0.5978, Loss 6.3391
Step 573, time 0.5917, Loss 5.7713
Step 574, time 0.5946, Loss 6.0091
Step 575, time 0.5931, Loss 6.1367
Step 576, time 0.5874, Loss 6.0299
Step 577, time 0.5836, Loss 5.8560
Step 578, time 0.5956, Loss 6.3658
Step 579, time 0.5728, Loss 6.2903
Step 580, time 0.5752, Loss 7.1374
Step 581, time 0.5701, Loss 6.1882
Step 582, time 0.5685, Loss 6.5723
Step 583, time 0.5709, Loss 6.8169
Step 584, time 0.5808, Loss 6.4732
Step 585, time 0.5645, Loss 6.3053
Step 586, time 0.5687, Loss 6.3122
Step 587, time 0.5719, Loss 6.9460
Step 588, time 0.5639, Loss 5.9649
Step 589, time 0.5783, Loss 6.1449
Step 590, time 0.5712, Loss 6.6727
Step 591, time 0.5794, Loss 6.4609
Step 592, time 0.5734, Loss 5.9909
Step 593, time 0.5715, Loss 6.7525
Step 594, time 0.5815, Loss 5.9963
Step 595, time 0.5632, Loss 5.8832
Step 596, time 0.5725, Loss 5.6361
Step 597, time 0.5687, Loss 6.2269
Step 598, time 0.5763, Loss 6.2190
Step 599, time 0.5663, Loss 6.3463
Step 600, time 0.5702, Loss 6.3817
Step 601, time 0.5943, Loss 6.5344
Step 602, time 0.5747, Loss 5.8511
Step 603, time 0.5741, Loss 6.2010
Step 604, time 0.5692, Loss 5.9568
Step 605, time 0.5724, Loss 5.7452
Step 606, time 0.5897, Loss 6.4639
Step 607, time 0.5786, Loss 6.4744
Step 608, time 0.5744, Loss 6.6468
Step 609, time 0.5817, Loss 5.5657
Step 610, time 0.5707, Loss 6.2053
Step 611, time 0.5736, Loss 5.7686
Step 612, time 0.5673, Loss 6.1463
Step 613, time 0.5755, Loss 6.2899
Step 614, time 0.5668, Loss 6.3690
Step 615, time 0.5773, Loss 6.5902
Step 616, time 0.5746, Loss 6.2259
Step 617, time 0.5718, Loss 6.2276
Step 618, time 0.5656, Loss 6.2137
Step 619, time 0.5720, Loss 6.5333
Step 620, time 0.5799, Loss 5.7452
Step 621, time 0.5710, Loss 5.3806
Step 622, time 0.5742, Loss 5.7039
Step 623, time 0.5696, Loss 6.6130
Step 624, time 0.5861, Loss 6.4022
Step 625, time 0.5752, Loss 6.1758
Step 626, time 0.5676, Loss 5.7568
Step 627, time 0.5818, Loss 6.0800
Step 628, time 0.5629, Loss 6.2679
Step 629, time 0.5775, Loss 6.0865
Step 630, time 0.5710, Loss 6.1744
Step 631, time 0.5785, Loss 5.5174
Step 632, time 0.5725, Loss 5.9272
Step 633, time 0.5749, Loss 6.2563
Step 634, time 0.5677, Loss 5.9578
Step 635, time 0.5684, Loss 5.8913
Step 636, time 0.5665, Loss 5.9006
Step 637, time 0.5670, Loss 5.9822
Step 638, time 0.5766, Loss 6.2265
Step 639, time 0.5772, Loss 5.7961
Step 640, time 0.5666, Loss 5.9750
Step 641, time 0.5807, Loss 5.9632
Step 642, time 0.5823, Loss 6.0928
Step 643, time 0.5800, Loss 7.0608
Step 644, time 0.5750, Loss 5.7523
Step 645, time 0.5765, Loss 6.4352
Step 646, time 0.5906, Loss 6.7465
Step 647, time 0.5733, Loss 5.7799
Step 648, time 0.5860, Loss 5.8603
